"CODE_SERIE";"CODE_PAYS";"UNITE";"SOURCE";"VALEUR";"QUALITE";"STATUT";"COMMENTAIRE";"DATE_MAJ";"AUTEUR";"C_TITRE_FRA";"C_TITRE_ENG"
cst_etnun;amnord;tep/t;NRD;1.18;1;o;;2016-03-09 11:56:06;LEOG;;
cst_gzlun;pacif;tep/t;NRD;1.0175;1;o;;2016-03-09 11:56:06;LEOG;;
cst_folun;pacif;tep/t;NRD;1.0175;1;o;;2016-03-09 11:56:06;LEOG;;
cst_essun;pacif;tep/t;NRD;1.0653;1;o;;2016-03-09 11:56:06;LEOG;;
cst_gplun;pacif;tep/t;NRD;1.14;1;o;;2016-03-09 11:56:06;LEOG;;
cst_graun;pacif;tep/t;NRD;1.149;1;o;;2016-03-09 11:56:06;LEOG;;
cst_esaun;pacif;tep/t;NRD;1.065;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard d'essence avion;Aviation gasoline standard conversion factor
cst_carun;pacif;tep/t;NRD;1.0653;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du carburéacteur;Jet fuel standard conversion factor
cst_kerun;pacif;tep/t;NRD;1.025;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du pétrole lampant;Kerosene standard conversion factor
cst_whiun;pacif;tep/t;NRD;1.027;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du white spirit;White spirit standard conversion factor
cst_napun;pacif;tep/t;NRD;1.032;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du naphta;Naphta standard conversion factor
cst_ckpun;pacif;tep/t;NRD;0.807;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pdvun;pacif;tep/t;NRD;0.96;1;o;;2016-03-09 11:56:06;LEOG;;
cst_etnun;pacif;tep/t;NRD;1.18;1;o;;2016-03-09 11:56:06;LEOG;;
cst_etnbltun;fix;bl/t;NRD;16.85;1;o;;2016-03-09 11:56:06;LEOG;;
cst_grabltun;fix;bl/t;NRD;8;1;o;;2016-03-09 11:56:06;LEOG;;
cst_napbltun;fix;bl/t;NRD;8.5;1;o;;2016-03-09 11:56:06;LEOG;;
cst_esabltun;fix;bl/t;NRD;8.9;1;o;;2016-03-09 11:56:06;LEOG;;
cst_carbltun;fix;bl/t;NRD;7.93;1;o;;2016-03-09 11:56:06;LEOG;;
cst_whibltun;fix;bl/t;NRD;7;1;o;;2016-03-09 11:56:06;LEOG;;
cst_prfbltun;fix;bl/t;NRD;7;1;o;;2016-03-09 11:56:06;LEOG;;
cst_lubbltun;fix;bl/t;NRD;7.09;1;o;;2016-03-09 11:56:06;LEOG;;
cst_bitbltun;fix;bl/t;NRD;6.08;1;o;;2016-03-09 11:56:06;LEOG;;
cst_ckpbltun;fix;bl/t;NRD;5.5;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pdvbltun;fix;bl/t;NRD;7;1;o;;2016-03-09 11:56:06;LEOG;;
cst_lgnbltun;fix;bl/t;NRD;11.6;1;o;;2016-03-09 11:56:06;LEOG;;
cst_parbltun;fix;bl/t;NRD;7.5;1;o;;2016-03-09 11:56:06;LEOG;;
cst_addbltun;fix;bl/t;NRD;6.5;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard des additifs (Barils/Tonne);Additives standard conversion factors (Barrels/Ton)
