nrg_bal,siec,unit,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 
FC_OTH_HH_E,E7000,TJ,AL	12488.684 	11232.871 	11329.114 	10564.326 	10767.348 	11665.350 	12600.004 	14641.092 	11036.876 	10571.882 	10790.820 
FC_OTH_HH_E,E7000,TJ,AT	64822.230 	66011.555 	64593.374 	64793.585 	64219.817 	61975.076 	60535.987 	63536.990 	63148.738 	62185.100 	63566.975 
FC_OTH_HH_E,E7000,TJ,BA	17262.000 	17013.596 	16866.000 	17118.000 	17042.400 	17010.000 	16574.400 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,BE	66949.200 	66169.800 	66539.880 	66632.760 	67787.640 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,BG	40882.252 	39038.011 	39466.890 	40095.137 	38638.800 	38318.400 	38124.000 	37933.200 	39016.800 	39283.200 	38012.400 
FC_OTH_HH_E,E7000,TJ,CY	6501.006 	6370.891 	6077.801 	: 	: 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,CZ	57501.000 	54924.602 	54178.330 	54760.676 	53766.000 	51775.200 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,DE	457315.196 	455540.400 	460368.004 	471326.400 	461520.000 	463320.000 	466560.000 	489600.000 	493200.000 	491760.000 	510120.000 
FC_OTH_HH_E,E7000,TJ,DK	39405.467 	36869.951 	35070.606 	35510.000 	37066.000 	36636.005 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,EA19	2049663.906 	2034945.130 	2041355.819 	2041852.216 	2021871.849 	1921597.406 	1477107.971 	1633736.943 	1561703.866 	1521269.855 	1591444.719 
FC_OTH_HH_E,E7000,TJ,EE	7192.800 	7451.989 	6696.493 	6985.001 	6887.779 	6221.686 	6261.293 	6714.961 	7042.608 	6963.397 	7283.840 
FC_OTH_HH_E,E7000,TJ,EL	62950.324 	62559.140 	60345.396 	70660.267 	71988.840 	63136.440 	: 	62806.000 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,ES	257453.035 	262752.023 	269851.428 	257318.420 	250879.442 	252213.019 	254502.133 	255786.584 	269978.310 	273899.567 	272480.364 
FC_OTH_HH_E,E7000,TJ,EU27_2020	2563384.687 	2541312.562 	2547004.543 	: 	: 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,FI	79347.600 	81165.600 	82425.600 	81043.200 	81064.800 	75304.800 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,FR	581394.715 	574999.481 	576849.110 	580042.408 	587174.767 	566286.174 	542933.975 	605265.210 	576317.455 	532908.659 	581472.000 
FC_OTH_HH_E,E7000,TJ,GE	9234.000 	8859.600 	8942.400 	8859.229 	8557.016 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,HR	21876.840 	22341.240 	22326.124 	22556.524 	22060.800 	22329.000 	21718.440 	22453.200 	23351.400 	23545.440 	23992.916 
FC_OTH_HH_E,E7000,TJ,HU	43664.000 	41825.002 	40931.996 	40495.406 	39434.400 	39020.400 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,IE	31456.688 	29278.620 	29425.594 	28652.468 	28341.878 	28370.740 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,IT	238361.933 	236116.811 	234496.062 	235766.516 	231494.400 	238273.200 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,LT	10959.120 	10485.720 	10744.200 	10215.360 	: 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,LU	3382.657 	3273.728 	3341.945 	3489.898 	3512.830 	3561.433 	3639.262 	3525.059 	3299.202 	3065.796 	2934.551 
FC_OTH_HH_E,E7000,TJ,LV	6303.661 	5937.775 	6012.299 	5963.306 	6454.800 	6332.400 	6289.200 	6418.800 	6393.600 	6379.200 	6976.800 
FC_OTH_HH_E,E7000,TJ,MD	6228.000 	6015.600 	5911.200 	5889.600 	: 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,MK	12099.240 	11710.080 	10795.727 	11147.753 	11006.280 	10993.504 	10965.240 	11034.000 	11745.360 	12042.720 	11638.800 
FC_OTH_HH_E,E7000,TJ,MT	3162.488 	3089.534 	2861.255 	2620.516 	2397.398 	2361.600 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,NL	88720.445 	84200.566 	82694.448 	81336.308 	81304.484 	81433.512 	82185.498 	84099.452 	84107.984 	82954.800 	82778.400 
FC_OTH_HH_E,E7000,TJ,NO	137062.145 	144424.800 	144784.800 	142776.000 	139690.800 	138996.000 	132789.600 	140054.400 	137703.600 	129808.800 	143035.200 
FC_OTH_HH_E,E7000,TJ,PL	108097.200 	105814.800 	105422.400 	105051.600 	104072.400 	101743.200 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,PT	49161.600 	47602.800 	47566.800 	45324.000 	46702.800 	43106.400 	42894.000 	44330.400 	46432.800 	49507.200 	52279.200 
FC_OTH_HH_E,E7000,TJ,RO	49031.222 	46743.426 	46007.579 	45348.012 	43440.095 	43540.207 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,RS	49385.275 	48024.594 	48292.456 	49734.036 	50151.600 	50623.200 	49687.200 	50925.600 	52261.200 	52794.000 	52722.000 
